"FAWN Station","Period","10m T avg (F)","10m T min (F)","10m T max (F)","RelHum avg 2m  (pct)","2m Rain tot (in)","2m Rain max over 15min (in)","SolRad avg2m  (w/m^2)","N (# obs)"
"Alachua","1 Dec 1999","40.12","30.12","54.21","70","0.00","0.00","169.87","96"
"Alachua","2 Dec 1999","43.29","24.79","63.05","71","0.00","0.00","168.62","96"
"Alachua","3 Dec 1999","52.08","34.40","68.77","79","0.00","0.00","144.69","96"
"Alachua","4 Dec 1999","63.45","53.76","74.14","76","0.00","0.00","111.97","96"
"Alachua","5 Dec 1999","66.06","53.58","78.31","74","0.00","0.00","159.00","96"
"Alachua","6 Dec 1999","62.50","46.80","68.00","85","0.18","0.08","53.16","96"
"Alachua","7 Dec 1999","50.06","37.31","64.74","80","0.00","0.00","167.71","96"
"Alachua","8 Dec 1999","58.37","46.96","71.56","84","0.00","0.00","132.55","96"
"Alachua","9 Dec 1999","62.72","53.31","75.29","90","0.00","0.00","142.39","96"
"Alachua","10 Dec 1999","66.86","57.69","76.80","92","0.00","0.00","122.42","96"
"Alachua","11 Dec 1999","64.00","52.90","76.73","79","0.00","0.00","153.68","96"
"Alachua","12 Dec 1999","64.43","55.13","74.21","91","0.00","0.00","56.32","96"
"Alachua","13 Dec 1999","65.90","62.51","68.32","92","0.00","0.00","29.99","96"
"Alachua","14 Dec 1999","59.07","47.30","67.14","82","0.00","0.00","157.15","96"
"Alachua","15 Dec 1999","52.39","38.43","68.00","86","0.00","0.00","134.68","96"
"Alachua","16 Dec 1999","47.91","34.69","53.49","70","0.00","0.00","91.71","96"
"Alachua","17 Dec 1999","49.75","34.57","60.80","74","0.00","0.00","69.29","96"
"Alachua","18 Dec 1999","56.64","51.39","61.79","95","0.16","0.02","20.80","96"
"Alachua","19 Dec 1999","61.83","52.25","67.75","87","0.03","0.01","81.61","96"
"Alachua","20 Dec 1999","57.83","49.78","69.04","85","0.00","0.00","118.58","96"
"Alachua","21 Dec 1999","60.97","52.63","75.31","90","0.02","0.01","63.97","96"
"Alachua","22 Dec 1999","58.93","56.75","64.29","96","0.01","0.01","20.04","96"
"Alachua","23 Dec 1999","55.36","39.62","63.34","76","0.00","0.00","93.07","96"
"Alachua","24 Dec 1999","45.79","31.97","58.82","71","0.00","0.00","158.67","96"
"Alachua","25 Dec 1999","41.30","32.53","51.40","69","0.00","0.00","155.43","96"
"Alachua","26 Dec 1999","40.24","24.28","56.05","69","0.00","0.00","156.00","96"
"Alachua","27 Dec 1999","50.72","40.66","64.08","61","0.00","0.00","157.41","96"
"Alachua","28 Dec 1999","50.85","44.39","61.74","64","0.00","0.00","156.26","96"
"Alachua","29 Dec 1999","47.27","37.35","59.94","63","0.00","0.00","153.01","96"
"Alachua","30 Dec 1999","49.47","31.94","67.48","82","0.00","0.00","149.29","96"
"Alachua","31 Dec 1999","57.48","45.05","70.00","85","0.00","0.00","95.81","96"
"Alachua","1 Jan 2000","63.28","52.30","75.43","82","0.00","0.00","110.64","96"
"Alachua","2 Jan 2000","63.86","52.03","76.75","85","0.00","0.00","114.12","96"
"Alachua","3 Jan 2000","63.30","49.51","78.42","82","0.00","0.00","147.24","96"
"Alachua","4 Jan 2000","67.82","60.64","77.68","83","0.03","0.03","120.33","96"
"Alachua","5 Jan 2000","49.58","40.49","60.46","63","0.00","0.00","167.58","96"
"Alachua","6 Jan 2000","58.60","41.07","73.44","78","0.00","0.00","111.77","96"
"Alachua","7 Jan 2000","57.89","53.15","66.18","93","0.15","0.06","77.83","96"
"Alachua","8 Jan 2000","58.51","46.40","75.13","90","0.00","0.00","110.45","96"
"Alachua","9 Jan 2000","62.68","51.15","77.32","86","0.00","0.00","129.61","96"
"Alachua","10 Jan 2000","64.96","56.88","73.76","91","0.30","0.30","75.39","96"
"Alachua","11 Jan 2000","58.05","44.83","72.73","78","0.01","0.01","166.24","96"
"Alachua","12 Jan 2000","58.22","42.48","76.33","74","0.00","0.00","166.67","96"
"Alachua","13 Jan 2000","59.41","41.06","76.30","76","0.04","0.04","152.94","96"
"Alachua","14 Jan 2000","48.18","31.84","60.26","47","0.00","0.00","175.56","96"
"Alachua","15 Jan 2000","44.96","30.70","60.82","71","0.00","0.00","167.64","96"
"Alachua","16 Jan 2000","50.75","32.77","67.62","73","0.00","0.00","170.59","96"
"Alachua","17 Jan 2000","54.24","41.79","63.05","88","0.00","0.00","57.40","96"
"Alachua","18 Jan 2000","61.68","49.55","70.99","81","0.00","0.00","136.28","96"
"Alachua","19 Jan 2000","59.92","56.64","64.04","79","0.02","0.01","46.58","96"
"Alachua","20 Jan 2000","62.25","46.29","69.21","63","0.00","0.00","152.27","96"
"Alachua","21 Jan 2000","41.54","31.46","53.33","49","0.00","0.00","179.30","96"
"Alachua","22 Jan 2000","44.42","28.11","64.69","59","0.00","0.00","172.12","96"
"Alachua","23 Jan 2000","59.82","39.89","73.99","79","1.26","0.21","126.12","96"
"Alachua","24 Jan 2000","51.14","41.30","59.86","91","0.72","0.04","16.24","96"
"Alachua","25 Jan 2000","40.24","32.63","48.83","67","0.15","0.01","146.07","96"
"Alachua","26 Jan 2000","34.68","26.88","43.69","60","0.10","0.02","186.71","96"
"Alachua","27 Jan 2000","35.81","24.19","48.96","58","0.00","0.00","174.10","96"
"Alachua","28 Jan 2000","44.56","36.69","53.11","88","0.25","0.03","41.06","96"
"Alachua","29 Jan 2000","55.53","49.21","64.99","96","0.01","0.01","59.19","96"
"Alachua","30 Jan 2000","60.64","45.81","72.75","89","0.44","0.06","113.63","96"
"Alachua","31 Jan 2000","42.62","39.88","47.32","88","0.08","0.01","61.26","96"
"Alachua","1 Feb 2000","45.10","30.98","57.76","71","0.00","0.00","175.29","96"
"Alachua","2 Feb 2000","48.81","41.27","60.73","67","0.00","0.00","177.36","96"
"Alachua","3 Feb 2000","51.89","40.11","66.27","64","0.00","0.00","159.15","96"
"Alachua","4 Feb 2000","53.23","38.37","68.36","64","0.00","0.00","191.21","96"
"Alachua","5 Feb 2000","42.57","31.61","53.13","54","0.00","0.00","203.74","96"
"Alachua","6 Feb 2000","41.98","25.45","61.07","65","0.00","0.00","204.33","96"
"Alachua","7 Feb 2000","47.43","31.11","64.63","70","0.00","0.00","198.22","96"
"Alachua","8 Feb 2000","50.24","38.04","66.22","68","0.00","0.00","158.53","96"
"Alachua","9 Feb 2000","51.14","37.75","65.53","72","0.00","0.00","194.44","96"
"Alachua","10 Feb 2000","53.31","35.22","70.32","64","0.00","0.00","198.17","96"
"Alachua","11 Feb 2000","58.36","45.48","71.15","83","0.00","0.00","141.78","96"
"Alachua","12 Feb 2000","64.27","58.30","72.77","79","0.00","0.00","105.02","96"
"Alachua","13 Feb 2000","64.03","52.36","75.45","78","0.00","0.00","148.93","96"
"Alachua","14 Feb 2000","65.82","60.94","68.88","88","0.57","0.05","39.40","96"
"Alachua","15 Feb 2000","61.25","49.50","73.44","68","0.00","0.00","216.06","96"
"Alachua","16 Feb 2000","61.91","43.91","80.08","73","0.00","0.00","193.34","96"
"Alachua","17 Feb 2000","65.17","51.17","80.40","75","0.00","0.00","189.87","96"
"Alachua","18 Feb 2000","64.88","52.68","78.55","78","0.00","0.00","193.55","96"
"Alachua","19 Feb 2000","68.39","60.46","77.58","85","0.00","0.00","128.90","96"
"Alachua","20 Feb 2000","59.05","43.52","68.05","64","0.00","0.00","225.98","96"
"Alachua","21 Feb 2000","50.03","35.14","64.15","70","0.00","0.00","225.22","96"
"Alachua","22 Feb 2000","54.26","41.39","67.93","72","0.00","0.00","202.18","96"
"Alachua","23 Feb 2000","58.69","45.32","72.16","81","0.00","0.00","166.71","96"
